ds,MSFT_real,MSFT_forecast,AAPL_real,AAPL_forecast,AMZN_real,AMZN_forecast,GOOGL_real,GOOGL_forecast,META_real,META_forecast
2023-03-01,243.82545471191406,251.25788387299085,144.34271240234375,145.5461847819664,92.16999816894531,94.30903880943751,90.25641632080078,89.51389474990452,173.06436157226562,186.73322559932643
2023-03-02,248.61741638183594,251.190890698,144.93873596191406,145.02798981360485,92.12999725341797,93.99145322203152,91.89453125,89.42300166528885,174.17208862304688,187.52480935462185
2023-03-03,252.75592041015625,251.74310325312285,150.02464294433594,145.1623049278876,94.9000015258789,93.97482632199251,93.54264068603516,89.66078451395398,184.87010192871094,189.23326162905653
2023-03-06,254.32020568847656,253.98919120389044,152.80601501464844,145.13256311714636,93.75,94.82142252547196,95.02094268798828,90.55347794230946,184.52081298828125,192.3463957833224
2023-03-07,251.62721252441406,254.60274319079008,150.59085083007812,145.06757319230985,93.55000305175781,94.65049533482208,93.75240325927734,91.01076815948443,184.13160705566406,193.4722012445874
2023-03-08,251.1816864013672,256.11168190392374,151.85238647460938,145.17678477591016,93.91999816894531,95.08837887562605,94.14195251464844,91.41307974201665,184.59068298339844,194.9033460033475
2023-03-09,249.81539916992188,257.2227168789788,149.5875701904297,145.17283632014437,92.25,95.51632301819133,92.21416473388672,91.93044773266229,181.31739807128906,195.97574715168122
2023-03-10,246.12242126464844,258.938581796083,147.51145935058594,145.84447136173313,90.7300033569336,96.245629076912,90.5261001586914,92.74962171487155,179.14186096191406,197.94060717782824
2023-03-13,251.39950561523438,263.8092598322776,149.46835327148438,147.46881297969313,92.43000030517578,98.66235960416876,91.00555419921875,95.1103317397315,180.52902221679688,201.25959424876538
2023-03-14,258.2013244628906,265.160199731625,151.57424926757812,147.93622392417066,94.87999725341797,98.94260507047971,93.86227416992188,95.95492158448756,193.62213134765625,202.41617495904347
2023-03-15,262.80517578125,267.31495913611286,151.97158813476562,148.55215041334847,96.19999694824219,99.78074155194922,95.99982452392578,96.68519387636104,197.34446716308594,203.8631922117586
2023-03-16,273.4583435058594,268.9690576239464,154.81256103515625,149.02013042012766,100.04000091552734,100.55105214338565,100.20499420166016,97.46789757227452,204.50973510742188,204.93893633728538
2023-03-17,276.65631103515625,271.11601170009146,153.9682159423828,150.1205076230432,98.94999694824219,101.5593431026596,101.50350952148438,98.48767386979748,195.2088623046875,206.89668316718996
2023-03-20,269.52777099609375,276.54852976239204,156.35223388671875,152.7022475646208,97.70999908447266,104.40124793241142,101.10396575927734,101.05808529172755,197.40435791015625,210.14419524412332
2023-03-21,271.0623779296875,277.8345014993173,158.2197265625,153.36176792706894,100.61000061035156,104.6833418875519,104.79972076416016,101.84611610245624,201.7454376220703,211.26075251347356
2023-03-22,269.5871887207031,279.7997127273412,156.7793731689453,154.1009040779841,98.69999694824219,105.45585789218428,103.25150299072266,102.46120464491122,199.40025329589844,212.657724794509
2023-03-23,274.90386962890625,281.1439655588175,157.87205505371094,154.6221126541989,98.70999908447266,106.09662173171775,105.47894287109375,103.07415165607642,203.861083984375,213.67084852827583
2023-03-24,277.78497314453125,282.86714371209024,159.1832733154297,155.70613588597092,98.12999725341797,106.91615733112688,105.31912994384766,103.87434987494481,205.58753967285156,215.54992899180817
2023-03-27,273.6365661621094,286.43600115427125,157.22637939453125,157.84699012373872,98.04000091552734,108.89746809321352,102.34254455566406,105.54243456773871,202.42404174804688,218.41848771465266
2023-03-28,272.49798583984375,286.9413794009454,156.60055541992188,158.24424294944208,97.23999786376953,108.8180361070821,100.91417694091797,105.9686267198437,200.26844787597656,219.3425005587976
2023-03-29,277.7255859375,288.068285204936,159.69979858398438,158.67409448912227,100.25,109.20423284075525,101.27376556396484,106.2018048488101,204.9288787841797,220.50367581830403
2023-03-30,281.23040771484375,288.53088669582377,161.2792205810547,158.84686271829787,102.0,109.44144252032469,100.77433776855469,106.41902488171854,207.41378784179688,221.23163051384122
